,edge_id,from_node_id,to_node_id
0,0,49,39
1,1,49,27
2,2,49,25
3,3,50,42
4,4,50,28
5,5,50,47
6,6,51,61
7,7,51,27
8,8,51,29
9,9,51,51
10,10,52,48
11,11,52,25
12,12,52,26
13,13,53,1
14,14,53,63
15,15,53,60
16,16,54,19
17,17,54,44
18,18,54,22
19,19,55,39
20,20,55,24
21,21,56,32
22,22,56,34
23,23,56,14
24,24,58,9
25,25,58,59
26,26,58,35
27,27,59,9
28,28,59,8
29,29,60,4
30,30,60,46
31,31,61,20
32,32,61,62
33,33,62,19
34,34,62,2
35,35,16,28
36,36,16,31
37,37,16,21
38,38,17,39
39,39,17,48
40,40,17,21
41,41,17,38
42,42,18,13
43,43,18,64
44,44,18,65
45,45,19,7
46,46,19,33
47,47,20,27
48,48,21,43
49,49,21,40
50,50,22,47
51,51,22,35
52,52,1,36
53,53,23,64
54,54,23,11
55,55,23,43
56,56,24,45
57,57,24,38
58,58,25,29
59,59,26,39
60,60,26,35
61,61,5,36
62,62,5,42
63,63,28,42
64,64,29,30
65,65,30,10
66,66,31,36
67,67,31,42
68,68,32,41
69,69,32,9
70,70,32,3
71,71,33,6
72,72,33,33
73,73,37,57
74,74,40,45
75,75,40,43
76,76,45,12
77,77,45,15
78,78,47,48
