,edge_id,from_node_id,to_node_id
0,0,116,89
1,1,116,91
2,2,116,78
3,3,116,145
4,4,118,51
5,5,118,69
6,6,118,52
7,7,26,35
8,8,26,48
9,9,22,89
10,10,22,168
11,11,22,78
12,12,22,48
13,13,119,62
14,14,119,163
15,15,120,50
16,16,120,57
17,17,120,49
18,18,122,124
19,19,122,9
20,20,3,43
21,21,3,37
22,22,123,74
23,23,123,83
24,24,123,59
25,25,124,157
26,26,125,43
27,27,125,54
28,28,126,75
29,29,126,14
30,30,126,13
31,31,127,63
32,32,127,90
33,33,16,153
34,34,16,45
35,35,128,144
36,36,128,56
37,37,128,38
38,38,25,104
39,39,25,93
40,40,129,108
41,41,129,70
42,42,129,166
43,43,129,17
44,44,130,114
45,45,130,150
46,46,130,85
47,47,132,74
48,48,132,160
49,49,132,147
50,50,133,57
51,51,133,28
52,52,134,55
53,53,134,169
54,54,134,101
55,55,40,80
56,56,40,164
57,57,135,75
58,58,135,140
59,59,135,46
60,60,136,99
61,61,136,153
62,62,136,71
63,63,138,115
64,64,138,48
65,65,139,152
66,66,139,97
67,67,139,154
68,68,140,61
69,69,140,79
70,70,140,95
71,71,141,161
72,72,141,17
73,73,142,61
74,74,142,96
75,75,142,79
76,76,142,148
77,77,143,167
78,78,143,157
79,79,143,151
80,80,144,56
81,81,144,97
82,82,144,93
83,83,145,89
84,84,145,100
85,85,145,87
86,86,146,5
87,87,146,37
88,88,146,76
89,89,147,65
90,90,148,152
91,91,148,158
92,92,148,154
93,93,149,1
94,94,149,31
95,95,150,114
96,96,150,30
97,97,150,160
98,98,151,11
99,99,151,4
100,100,21,93
101,101,21,60
102,102,21,110
103,103,152,96
104,104,153,99
105,105,153,18
106,106,32,41
107,107,32,54
108,108,154,106
109,109,30,114
110,110,30,121
111,111,157,167
112,112,23,10
113,113,23,169
114,114,158,79
115,115,158,70
116,116,45,111
117,117,45,81
118,118,45,13
119,119,46,82
120,120,46,102
121,121,46,66
122,122,47,103
123,123,47,67
124,124,47,65
125,125,48,63
126,126,49,71
127,127,49,33
128,128,50,44
129,129,50,53
130,130,50,163
131,131,51,72
132,132,51,69
133,133,52,161
134,134,52,68
135,135,52,52
136,136,53,156
137,137,53,44
138,138,54,12
139,139,55,162
140,140,56,85
141,141,58,80
142,142,58,72
143,143,58,59
144,144,59,98
145,145,160,67
146,146,61,95
147,147,12,34
148,148,12,27
149,149,62,99
150,150,63,94
151,151,161,166
152,152,64,74
153,153,64,8
154,154,64,98
155,155,66,92
156,156,66,82
157,157,67,117
158,158,67,170
159,159,68,106
160,160,69,109
161,161,70,106
162,162,71,24
163,163,72,73
164,164,72,164
165,165,162,107
166,166,73,167
167,167,73,4
168,168,15,137
169,169,15,42
170,170,15,6
171,171,74,91
172,172,44,88
173,173,75,95
174,174,75,81
175,175,76,112
176,176,76,105
177,177,31,85
178,178,77,112
179,179,77,38
180,180,78,100
181,181,79,82
182,182,165,108
183,183,165,84
184,184,82,166
185,185,83,90
186,186,84,86
187,187,84,92
188,188,85,19
189,189,87,168
190,190,87,100
191,191,87,39
192,192,88,99
193,193,88,131
194,194,89,168
195,195,18,111
196,196,91,103
197,197,91,115
198,198,168,20
199,199,38,96
200,200,92,108
201,201,92,159
202,202,94,155
203,203,95,36
204,204,97,114
205,205,100,29
206,206,101,111
207,207,170,29
208,208,104,112
209,209,104,5
210,210,7,10
211,211,7,105
212,212,105,36
213,213,110,113
214,214,110,2
