,edge_id,from_node_id,to_node_id
0,0,110,110
1,1,110,63
2,2,112,47
3,3,112,49
4,4,113,58
5,5,113,85
6,6,115,30
7,7,115,67
8,8,25,59
9,9,25,86
10,10,116,56
11,11,116,21
12,12,116,20
13,13,30,68
14,14,117,47
15,15,117,8
16,16,120,58
17,17,120,101
18,18,34,51
19,19,34,102
20,20,34,76
21,21,121,66
22,22,121,90
23,23,121,64
24,24,19,77
25,25,19,54
26,26,13,118
27,27,13,27
28,28,13,83
29,29,123,69
30,30,123,43
31,31,22,56
32,32,22,14
33,33,18,74
34,34,18,39
35,35,18,106
36,36,20,21
37,37,20,38
38,38,31,75
39,39,31,89
40,40,35,24
41,41,35,8
42,42,35,38
43,43,36,84
44,44,36,71
45,45,36,57
46,46,36,76
47,47,37,87
48,48,37,57
49,49,38,21
50,50,38,48
51,51,39,55
52,52,39,78
53,53,40,26
54,54,40,92
55,55,40,45
56,56,41,98
57,57,41,48
58,58,41,73
59,59,43,104
60,60,43,95
61,61,43,109
62,62,44,65
63,63,44,90
64,64,44,95
65,65,44,100
66,66,45,70
67,67,45,32
68,68,46,71
69,69,46,29
70,70,46,75
71,71,47,89
72,72,48,103
73,73,48,97
74,74,49,3
75,75,49,96
76,76,50,79
77,77,50,93
78,78,51,82
79,79,51,102
80,80,53,29
81,81,53,72
82,82,54,12
83,83,54,105
84,84,55,65
85,85,55,61
86,86,56,91
87,87,56,5
88,88,23,68
89,89,23,28
90,90,58,104
91,91,59,102
92,92,11,2
93,93,11,100
94,94,61,86
95,95,61,76
96,96,62,7
97,97,62,83
98,98,62,10
99,99,62,17
100,100,63,52
101,101,63,101
102,102,64,12
103,103,64,2
104,104,64,90
105,105,65,78
106,106,65,86
107,107,66,78
108,108,67,79
109,109,68,94
110,110,68,111
111,111,69,82
112,112,69,98
113,113,70,99
114,114,70,91
115,115,70,60
116,116,72,87
117,117,72,114
118,118,72,119
119,119,73,109
120,120,74,77
121,121,74,106
122,122,33,92
123,123,33,42
124,124,75,79
125,125,76,82
126,126,77,83
127,127,77,106
128,128,80,88
129,129,80,84
130,130,81,81
131,131,81,4
132,132,81,122
133,133,82,97
134,134,85,92
135,135,86,86
136,136,87,1
137,137,2,90
138,138,89,6
139,139,89,9
140,140,93,107
141,141,93,124
142,142,93,108
143,143,97,103
144,144,98,103
145,145,100,100
146,146,107,15
147,147,107,16
