,edge_id,from_node_id,to_node_id
0,0,75,36
1,1,75,29
2,2,75,30
3,3,32,62
4,4,32,23
5,5,32,43
6,6,53,28
7,7,53,42
8,8,54,41
9,9,54,76
10,10,76,35
11,11,33,67
12,12,33,17
13,13,33,51
14,14,34,70
15,15,34,31
16,16,55,21
17,17,55,56
18,18,35,21
19,19,36,73
20,20,36,65
21,21,36,60
22,22,8,69
23,23,8,5
24,24,56,63
25,25,56,59
26,26,56,31
27,27,17,48
28,28,17,40
29,29,17,1
30,30,37,40
31,31,37,46
32,32,37,62
33,33,37,45
34,34,57,38
35,35,57,41
36,36,38,12
37,37,38,19
38,38,15,40
39,39,15,49
40,40,39,3
41,41,39,22
42,42,39,43
43,43,39,11
44,44,40,77
45,45,58,23
46,46,58,25
47,47,59,61
48,48,59,50
49,49,59,47
50,50,41,41
51,51,60,46
52,52,60,47
53,53,61,47
54,54,61,29
55,55,10,22
56,56,10,5
57,57,62,46
58,58,42,71
59,59,42,4
60,60,43,11
61,61,44,16
62,62,44,64
63,63,44,51
64,64,63,26
65,65,63,74
66,66,64,65
67,67,64,9
68,68,13,14
69,69,13,11
70,70,13,49
71,71,45,73
72,72,65,30
73,73,46,50
74,74,66,71
75,75,66,23
76,76,49,18
77,77,49,14
78,78,69,27
79,79,20,26
80,80,70,29
81,81,22,2
82,82,22,25
83,83,21,24
84,84,50,72
85,85,50,24
86,86,71,72
87,87,24,28
88,88,51,73
89,89,72,28
90,90,27,27
91,91,27,68
92,92,29,29
93,93,30,7
94,94,31,52
95,95,31,6
