,node_id,latitude,longitude
0,1,47.2589073,11.3750172
1,2,47.2549324,11.3985529
2,3,47.2548027,11.3965015
3,4,47.2574615,11.3992271
4,5,47.2577477,11.4053984
5,6,47.269577,11.4193258
6,7,47.2812195,11.3930769
7,8,47.2582703,11.4083433
8,9,47.2685623,11.375
9,10,47.2571907,11.4002113
10,11,47.2562332,11.3898401
11,12,47.2553253,11.4129467
12,13,47.2567711,11.3878679
13,14,47.2571106,11.3865328
14,15,47.2577858,11.3823385
15,16,47.2662621,11.3750134
16,17,47.2598076,11.3781366
17,18,47.2548218,11.3801126
18,19,47.2553444,11.413044
19,20,47.2625351,11.4129747
20,21,47.2662182,11.4025663
21,22,47.25636,11.3976293
22,23,47.2624264,11.3948829
23,24,47.2663797,11.4011079
24,25,47.2589722,11.3967551
25,26,47.2624526,11.4135111
26,27,47.2607531,11.4195289
27,28,47.2647919,11.4004093
28,29,47.2791639,11.4039733
29,30,47.2721159,11.3872293
30,31,47.2718658,11.4152989
31,32,47.2623761,11.391267
32,33,47.2649344,11.3752407
33,34,47.2740797,11.4114545
34,35,47.2649581,11.4040596
35,36,47.2690817,11.3903704
36,37,47.2640589,11.3865221
37,38,47.2585832,11.4112409
38,39,47.2562509,11.3961636
39,40,47.2587231,11.3802501
40,41,47.2633578,11.4083813
41,42,47.2631332,11.3997274
42,43,47.2561302,11.3917158
43,44,47.2664173,11.3809453
44,45,47.2655983,11.3842058
45,46,47.2673224,11.3908672
46,47,47.2743324,11.3968618
47,48,47.2633858,11.3750063
48,49,47.257391,11.3828306
49,50,47.2667728,11.3991707
50,51,47.2655973,11.3782141
51,52,47.2751134,11.419734
52,53,47.2642746,11.4001009
53,54,47.2642555,11.4066327
54,55,47.2686729,11.4053218
55,56,47.2701775,11.4111288
56,57,47.259446,11.4102982
57,58,47.2602081,11.3954778
58,59,47.2740502,11.400576
59,60,47.2682754,11.3913853
60,61,47.2773082,11.4008318
61,62,47.2658462,11.3895814
62,63,47.2620239,11.4159653
63,64,47.2701569,11.3818182
64,65,47.2712809,11.3863756
65,66,47.2626734,11.3952384
66,67,47.2642708,11.3749385
67,68,47.2607822,11.4200225
68,69,47.2592449,11.4142404
69,70,47.2748356,11.4103668
70,71,47.2630005,11.3964532
71,72,47.2650223,11.3986613
72,73,47.2661463,11.3831914
73,74,47.2617364,11.416436
74,75,47.2739687,11.3942459
75,76,47.264341,11.4055662
76,77,47.255497,11.3761587
