,edge_id,from_node_id,to_node_id
0,0,32,14
1,1,32,5
2,2,32,6
3,3,34,34
4,4,34,7
5,5,34,3
6,6,35,24
7,7,35,25
8,8,35,22
9,9,36,28
10,10,36,21
11,11,14,8
12,12,14,29
13,13,2,19
14,14,2,38
15,15,2,17
16,16,37,3
17,17,37,9
18,18,37,22
19,19,38,26
20,20,38,17
21,21,16,23
22,22,16,24
23,23,16,27
24,24,17,39
25,25,17,20
26,26,18,41
27,27,18,33
28,28,18,4
29,29,19,8
30,30,19,30
31,31,39,26
32,32,39,11
33,33,20,40
34,34,20,30
35,35,21,30
36,36,22,25
37,37,40,23
38,38,23,31
39,39,41,25
40,40,41,13
41,41,24,27
42,42,8,12
43,43,27,27
44,44,28,15
45,45,29,1
46,46,29,10
