,edge_id,from_node_id,to_node_id
0,0,371,468
1,1,371,347
2,2,371,259
3,3,373,246
4,4,373,571
5,5,374,490
6,6,374,538
7,7,374,199
8,8,374,341
9,9,375,217
10,10,375,176
11,11,376,445
12,12,376,368
13,13,376,219
14,14,378,578
15,15,378,9
16,16,378,325
17,17,379,454
18,18,379,202
19,19,379,131
20,20,2,393
21,21,2,382
22,22,380,13
23,23,380,446
24,24,380,397
25,25,382,127
26,26,382,215
27,27,382,427
28,28,383,220
29,29,383,401
30,30,384,516
31,31,384,175
32,32,384,560
33,33,385,570
34,34,385,306
35,35,385,599
36,36,387,550
37,37,387,423
38,38,387,134
39,39,388,496
40,40,388,85
41,41,388,24
42,42,389,412
43,43,389,505
44,44,389,394
45,45,390,285
46,46,390,356
47,47,390,242
48,48,390,539
49,49,391,137
50,50,391,119
51,51,391,50
52,52,391,424
53,53,392,103
54,54,392,3
55,55,394,67
56,56,394,322
57,57,394,52
58,58,395,183
59,59,395,268
60,60,60,341
61,61,60,105
62,62,60,24
63,63,396,574
64,64,396,144
65,65,396,487
66,66,397,564
67,67,397,128
68,68,398,363
69,69,398,501
70,70,398,477
71,71,399,14
72,72,399,145
73,73,399,604
74,74,106,226
75,75,106,244
76,76,400,441
77,77,400,148
78,78,402,553
79,79,402,238
80,80,402,426
81,81,403,344
82,82,403,118
83,83,403,191
84,84,404,17
85,85,404,99
86,86,405,535
87,87,405,570
88,88,405,190
89,89,407,182
90,90,407,543
91,91,407,478
92,92,407,259
93,93,22,494
94,94,22,150
95,95,408,440
96,96,408,352
97,97,409,147
98,98,409,4
99,99,45,616
100,100,45,159
101,101,412,544
102,102,412,451
103,103,412,546
104,104,413,576
105,105,413,194
106,106,413,203
107,107,75,290
108,108,75,222
109,109,73,153
110,110,73,554
111,111,73,492
112,112,415,469
113,113,415,293
114,114,416,528
115,115,416,229
116,116,416,47
117,117,416,274
118,118,417,136
119,119,417,34
120,120,417,43
121,121,417,104
122,122,109,586
123,123,109,128
124,124,419,276
125,125,419,583
126,126,420,536
127,127,420,148
128,128,420,455
129,129,56,556
130,130,56,586
131,131,56,128
132,132,421,453
133,133,421,163
134,134,421,370
135,135,422,543
136,136,422,432
137,137,423,550
138,138,423,312
139,139,423,244
140,140,425,110
141,141,425,40
142,142,425,514
143,143,425,573
144,144,426,35
145,145,427,215
146,146,428,432
147,147,428,504
148,148,428,135
149,149,429,124
150,150,429,475
151,151,429,549
152,152,429,523
153,153,21,286
154,154,21,349
155,155,430,593
156,156,430,309
157,157,430,365
158,158,431,531
159,159,431,557
160,160,431,236
161,161,433,458
162,162,433,271
163,163,433,461
164,164,433,131
165,165,435,269
166,166,435,257
167,167,435,255
168,168,436,130
169,169,436,517
170,170,437,317
171,171,437,207
172,172,39,44
173,173,39,138
174,174,39,602
175,175,439,600
176,176,439,603
177,177,439,335
178,178,440,340
179,179,110,573
180,180,110,464
181,181,92,91
182,182,92,16
183,183,92,218
184,184,441,585
185,185,442,210
186,186,442,568
187,187,443,519
188,188,443,337
189,189,443,216
190,190,444,179
191,191,444,159
192,192,445,618
193,193,445,434
194,194,446,13
195,195,446,367
196,196,46,595
197,197,46,181
198,198,447,205
199,199,447,145
200,200,448,85
201,201,448,37
202,202,449,54
203,203,449,130
204,204,450,291
205,205,450,165
206,206,451,82
207,207,453,88
208,208,453,242
209,209,454,209
210,210,455,311
211,211,456,343
212,212,456,537
213,213,456,141
214,214,31,510
215,215,31,197
216,216,458,582
217,217,458,271
218,218,459,179
219,219,459,333
220,220,460,326
221,221,460,140
222,222,461,539
223,223,462,616
224,224,462,500
225,225,463,123
226,226,463,161
227,227,465,314
228,228,465,190
229,229,466,224
230,230,466,180
231,231,466,329
232,232,466,266
233,233,467,231
234,234,467,243
235,235,468,12
236,236,468,69
237,237,469,285
238,238,469,293
239,239,470,370
240,240,470,235
241,241,470,47
242,242,470,369
243,243,471,485
244,244,471,122
245,245,472,324
246,246,472,304
247,247,472,194
248,248,473,10
249,249,473,362
250,250,474,160
251,251,474,257
252,252,475,37
253,253,475,534
254,254,475,367
255,255,13,74
256,256,476,232
257,257,476,596
258,258,477,294
259,259,477,514
260,260,477,518
261,261,14,615
262,262,14,604
263,263,478,347
264,264,480,600
265,265,480,186
266,266,481,578
267,267,481,609
268,268,481,295
269,269,482,357
270,270,482,557
271,271,482,229
272,272,483,328
273,273,483,452
274,274,90,102
275,275,90,101
276,276,90,607
277,277,484,83
278,278,484,351
279,279,484,212
280,280,484,597
281,281,485,372
282,282,485,202
283,283,486,611
284,284,486,600
285,285,486,344
286,286,487,323
287,287,487,511
288,288,488,247
289,289,488,497
290,290,488,58
291,291,488,122
292,292,489,496
293,293,489,560
294,294,489,534
295,295,489,132
296,296,490,608
297,297,490,155
298,298,491,68
299,299,491,304
300,300,49,51
301,301,49,202
302,302,492,364
303,303,492,554
304,304,492,29
305,305,493,328
306,306,493,249
307,307,493,610
308,308,494,304
309,309,494,288
310,310,51,223
311,311,36,40
312,312,36,117
313,313,496,619
314,314,496,563
315,315,40,573
316,316,498,364
317,317,498,279
318,318,498,97
319,319,498,23
320,320,500,299
321,321,501,549
322,322,501,561
323,323,502,523
324,324,502,553
325,325,502,549
326,326,503,141
327,327,503,298
328,328,503,332
329,329,504,183
330,330,505,536
331,331,505,343
332,332,505,302
333,333,506,276
334,334,506,528
335,335,506,332
336,336,507,174
337,337,507,162
338,338,508,525
339,339,508,38
340,340,508,203
341,341,509,187
342,342,509,304
343,343,509,194
344,344,509,576
345,345,510,78
346,346,510,72
347,347,511,574
348,348,511,323
349,349,512,569
350,350,512,223
351,351,513,253
352,352,513,149
353,353,514,547
354,354,515,543
355,355,515,268
356,356,516,563
357,357,516,560
358,358,52,546
359,359,517,321
360,360,28,117
361,361,28,15
362,362,518,294
363,363,518,363
364,364,519,337
365,365,519,298
366,366,520,337
367,367,520,249
368,368,520,332
369,369,521,232
370,370,521,134
371,371,522,97
372,372,522,94
373,373,522,297
374,374,522,23
375,375,523,124
376,376,524,570
377,377,524,306
378,378,100,93
379,379,100,156
380,380,93,108
381,381,93,113
382,382,526,605
383,383,526,308
384,384,526,163
385,385,54,358
386,386,527,190
387,387,527,327
388,388,528,120
389,389,529,126
390,390,529,571
391,391,67,284
392,392,530,280
393,393,530,119
394,394,531,285
395,395,531,594
396,396,532,357
397,397,532,538
398,398,532,155
399,399,86,203
400,400,86,226
401,401,86,576
402,402,534,619
403,403,3,146
404,404,535,314
405,405,535,164
406,406,5,555
407,407,5,584
408,408,536,225
409,409,537,132
410,410,537,89
411,411,99,135
412,412,538,256
413,413,539,356
414,414,540,117
415,415,540,289
416,416,541,273
417,417,541,140
418,418,542,607
419,419,542,70
420,420,542,25
421,421,544,583
422,422,545,280
423,423,545,275
424,424,547,238
425,425,550,596
426,426,551,348
427,427,551,151
428,428,552,169
429,429,552,158
430,430,553,553
431,431,554,59
432,432,554,279
433,433,555,585
434,434,555,381
435,435,9,557
436,436,9,260
437,437,556,143
438,438,556,128
439,439,64,329
440,440,64,277
441,441,55,309
442,442,55,202
443,443,557,256
444,444,61,267
445,445,61,171
446,446,559,559
447,447,559,207
448,448,84,114
449,449,84,301
450,450,560,367
451,451,561,363
452,452,561,199
453,453,562,127
454,454,562,334
455,455,562,302
456,456,566,26
457,457,566,328
458,458,566,251
459,459,44,204
460,460,567,123
461,461,567,157
462,462,567,248
463,463,568,263
464,464,568,116
465,465,7,224
466,466,7,277
467,467,569,575
468,468,112,270
469,469,112,96
470,470,88,138
471,471,82,284
472,472,30,603
473,473,30,284
474,474,572,8
475,475,572,299
476,476,574,144
477,477,35,189
478,478,575,323
479,479,576,187
480,480,577,132
481,481,577,42
482,482,577,261
483,483,578,295
484,484,4,48
485,485,580,228
486,486,580,277
487,487,581,216
488,488,581,264
489,489,581,120
490,490,582,355
491,491,584,288
492,492,114,362
493,493,115,236
494,494,115,293
495,495,116,255
496,496,116,310
497,497,212,359
498,498,212,597
499,499,117,157
500,500,118,353
501,501,118,319
502,502,103,204
503,503,585,126
504,504,120,216
505,505,586,243
506,506,121,167
507,507,121,176
508,508,122,247
509,509,123,157
510,510,587,326
511,511,587,239
512,512,587,165
513,513,125,278
514,514,125,346
515,515,125,592
516,516,126,149
517,517,124,81
518,518,127,177
519,519,127,334
520,520,129,268
521,521,129,166
522,522,588,215
523,523,588,207
524,524,131,601
525,525,131,293
526,526,132,141
527,527,133,595
528,528,133,198
529,529,133,144
530,530,134,79
531,531,136,68
532,532,136,34
533,533,136,339
534,534,589,258
535,535,589,610
536,536,137,306
537,537,138,621
538,538,138,602
539,539,139,170
540,540,139,307
541,541,590,196
542,542,590,180
543,543,140,605
544,544,141,345
545,545,592,205
546,546,592,604
547,547,142,346
548,548,142,206
549,549,143,221
550,550,143,329
551,551,143,193
552,552,144,178
553,553,145,147
554,554,145,604
555,555,146,331
556,556,32,234
557,557,32,335
558,558,148,225
559,559,149,149
560,560,150,176
561,561,147,147
562,562,151,238
563,563,65,41
564,564,65,91
565,565,65,80
566,566,152,169
567,567,152,335
568,568,153,457
569,569,153,29
570,570,153,307
571,571,154,282
572,572,154,158
573,573,155,357
574,574,155,305
575,575,156,192
576,576,594,235
577,577,594,369
578,578,158,184
579,579,159,173
580,580,160,303
581,581,161,238
582,582,161,289
583,583,162,313
584,584,162,11
585,585,162,20
586,586,163,291
587,587,164,314
588,588,165,326
589,589,166,173
590,590,167,187
591,591,168,565
