,link_id,osm_way_id,from_node_id,to_node_id,length,lanes,free_speed,geometry,allowed_uses
0,0,146977155,316284659,3919338898,2.2455086007829275,3,16.67,"LINESTRING (47.372589111328125 8.534379959106445, 47.37258529663086 8.53439998626709)",auto
1,1,131573705,1447888438,3925916784,32.45265817552079,3,16.67,"LINESTRING (47.398193359375 8.53526782989502, 47.39818954467773 8.5349760055542)",auto
2,2,10596298,4408792422,3932657543,5.93881607452113,3,16.67,"LINESTRING (47.41445159912109 8.554636001586914, 47.41445159912109 8.554582595825195)",auto
3,3,8418498,151315562,4326918269,11.948417708911089,3,16.67,"LINESTRING (47.35292053222656 8.572798728942871, 47.35301208496094 8.57288646697998)",auto
4,4,30442608,4875471079,4875471071,37.99429623762119,3,16.67,"LINESTRING (47.388214111328125 8.470809936523438, 47.38799285888672 8.47111701965332)",auto
5,5,137477226,27488791,5200975909,10.213847883456452,3,16.67,"LINESTRING (47.34488296508789 8.519418716430664, 47.34501266479492 8.519392013549805)",auto
6,6,593797109,1542859357,5251998560,73.19341061601914,3,16.67,"LINESTRING (47.358394622802734 8.588680267333984, 47.358524322509766 8.589332580566406)",auto
7,7,526016618,5116225752,5257663394,3.024483804846589,3,16.67,"LINESTRING (47.37283706665039 8.5335111618042, 47.37282943725586 8.533537864685059)",auto
8,8,285303238,514308515,5647920989,6.261729204819517,3,16.67,"LINESTRING (47.41032791137695 8.479663848876953, 47.410400390625 8.479636192321777)",auto
9,9,84223368,775936219,6605753536,9.477720466796754,3,16.67,"LINESTRING (47.3870849609375 8.489250183105469, 47.3870735168457 8.489335060119629)",auto
10,10,708025127,6652975105,6652975104,21.982055952985057,3,16.67,"LINESTRING (47.34127426147461 8.51917839050293, 47.34098434448242 8.519156455993652)",auto
11,11,156041079,60552117,7066695578,2.7965309729110768,3,16.67,"LINESTRING (47.329349517822266 8.543181419372559, 47.329383850097656 8.543171882629395)",auto
12,12,803007692,7069154245,7069154248,17.824317949204207,3,16.67,"LINESTRING (47.345664978027344 8.588218688964844, 47.34563827514648 8.588059425354004)",auto
13,13,554260411,1460567073,7376660328,263.26479847603053,3,16.67,"LINESTRING (47.4079704284668 8.59033203125, 47.40848922729492 8.587990760803223)",auto
14,14,772933900,2027070166,7750219745,25.222795561184142,3,16.67,"LINESTRING (47.39231491088867 8.50240707397461, 47.39241027832031 8.50262451171875)",auto
15,15,720164412,8761689856,8761689855,2.6263679477087702,3,16.67,"LINESTRING (47.39081954956055 8.479034423828125, 47.39078903198242 8.479022979736328)",auto
16,16,39256903,8889815233,8889815235,28.550845795035595,3,16.67,"LINESTRING (47.35312271118164 8.471564292907715, 47.35277938842773 8.471455574035645)",auto
17,17,150117373,455579,469716,36.55798931039178,3,16.67,"LINESTRING (47.3896713256836 8.511676788330078, 47.389591217041016 8.512001037597656)",auto
18,18,5880368,1917982012,469716,15.279474131672885,3,16.67,"LINESTRING (47.3895378112793 8.511868476867676, 47.389591217041016 8.512001037597656)",auto
19,19,35164367,26114487,26114488,25.325561659385528,3,16.67,"LINESTRING (47.3780517578125 8.54184627532959, 47.37831115722656 8.541701316833496)",auto
20,20,43068084,3482369641,27028553,31.52768855424245,3,16.67,"LINESTRING (47.37250518798828 8.54751968383789, 47.372100830078125 8.547593116760254)",auto
21,21,137477243,458362346,27488654,46.49208452988181,3,16.67,"LINESTRING (47.34951019287109 8.5235013961792, 47.349220275878906 8.52313232421875)",auto
22,22,4440330,5255883878,48932975,16.699946365459173,3,16.67,"LINESTRING (47.371376037597656 8.530214309692383, 47.37148284912109 8.530082702636719)",auto
23,23,374688191,6819488992,52727147,113.65331488269018,3,16.67,"LINESTRING (47.384525299072266 8.510169982910156, 47.38421630859375 8.511170387268066)",auto
24,24,89632318,3195906725,92545507,7.9593261933702415,3,16.67,"LINESTRING (47.40712738037109 8.585800170898438, 47.40708923339844 8.585733413696289)",auto
25,25,10595546,1374836370,92545507,20.84972197548717,3,16.67,"LINESTRING (47.40716552734375 8.585553169250488, 47.40708923339844 8.585733413696289)",auto
26,26,624664659,93007122,93007123,19.61922730309305,3,16.67,"LINESTRING (47.39994812011719 8.547751426696777, 47.39973449707031 8.547650337219238)",auto
27,27,148067677,8977329583,102396557,1.8501148004880008,3,16.67,"LINESTRING (47.38766479492188 8.54093074798584, 47.3876838684082 8.54092025756836)",auto
28,28,144940263,5715288838,129985870,47.759708251993445,3,16.67,"LINESTRING (47.38241958618164 8.551555633544922, 47.38262939453125 8.55115032196045)",auto
29,29,149584038,5635232704,142530154,5.090413778160968,3,16.67,"LINESTRING (47.40217971801758 8.496806144714355, 47.40217971801758 8.496851921081543)",auto
30,30,8423402,150552051,150552053,19.980189826336044,3,16.67,"LINESTRING (47.33803939819336 8.573044776916504, 47.33823394775391 8.572922706604004)",auto
31,31,803103484,150872231,150872230,22.299110629910558,3,16.67,"LINESTRING (47.34406280517578 8.584112167358398, 47.34393310546875 8.583931922912598)",auto
32,32,284092320,290709374,245451039,49.26089334516454,3,16.67,"LINESTRING (47.4123649597168 8.515899658203125, 47.41233444213867 8.515457153320312)",auto
33,33,537948562,260742794,260742795,38.62713122143086,3,16.67,"LINESTRING (47.36085510253906 8.523265838623047, 47.36133193969727 8.523138046264648)",auto
34,34,24596907,2236927123,267276281,3.0624976032151547,3,16.67,"LINESTRING (47.368778228759766 8.519641876220703, 47.36881637573242 8.519651412963867)",auto
35,35,4674615,1492866270,277278485,8.671530827194934,3,16.67,"LINESTRING (47.405792236328125 8.59118366241455, 47.405879974365234 8.59123420715332)",auto
